SECTION,TYPE,DATA1,DATA2,DATA3,DATA4,DATA5
INFO,VERSION,1.0,,,,
INFO,EXPORT_DATE,2026-05-05T07:32:24.725Z,,,,
WAYPOINT,wp-1777966332770,WP1,18.90985926245423,72.49817848205568,,
WAYPOINT,wp-1777966334940,WP2,18.898815919306536,72.46564865112306,,
